case_id,amount,payment_method,failure_type,checkout_intent_score,customer_tenure_days,previous_transactions,previous_failures,previous_recoveries,days_since_failure,retry_count,messages_sent,opted_out,historical_success_rate,prior_recovery_rate,high_value,customer_history_strength,recovered
RC0000000,2332.16,card,insufficient_funds,0.7871,855,7,1,0,8,3,2,0,0.7123621215403096,0.0,0,0.55995723371683,0
RC0000001,743.64,wallet,temporary_bank_error,0.9556,669,10,3,1,12,1,3,0,0.7280497358317606,0.14666237472881202,0,0.6457112531348923,0
RC0000002,3406.45,wallet,timeout,0.6856,767,9,0,0,2,2,3,0,0.9762941065131798,1.0,0,0.6200458888731157,1
RC0000003,4003.89,wallet,temporary_bank_error,0.4898,1126,12,0,1,8,3,0,0,0.9271036727324579,1.0,0,0.6906959960353908,0
RC0000004,342.81,wallet,unknown,0.5735,234,6,1,1,2,0,2,0,0.9751306504912289,0.0,0,0.5239995654055677,0
RC0000005,595.08,card,unknown,0.6655,839,6,1,2,14,2,2,0,1.0,0.790343325619265,0,0.5239995654055677,0
RC0000006,2006.62,card,temporary_bank_error,0.4264,958,9,0,2,10,2,2,0,1.0,0.7967993473497593,0,0.6200458888731157,0
RC0000007,1375.72,netbanking,authentication_failure,0.8422,1238,10,0,0,7,0,1,0,1.0,0.0,0,0.6457112531348923,1
RC0000008,1774.48,card,temporary_bank_error,0.6699,752,11,1,1,4,0,1,0,0.916941374281961,0.6018760053230039,0,0.669141894960796,1
RC0000009,871.71,upi,unknown,0.8309,86,6,1,0,2,0,1,0,0.5305426895238271,0.8868977821163291,0,0.5239995654055677,0
RC0000010,3801.04,netbanking,temporary_bank_error,0.4499,772,11,1,5,6,3,0,0,0.8738339839983187,0.8329944852167155,0,0.669141894960796,0
RC0000011,3486.54,upi,insufficient_funds,0.6372,1300,11,0,3,0,1,3,0,1.0,0.5984149325397649,0,0.669141894960796,0
RC0000012,1903.92,upi,temporary_bank_error,0.6465,1370,6,1,1,8,0,3,0,0.8133572915977405,0.4466431382040318,0,0.5239995654055677,1
